timestamp,preRate
2025-08-10T01:08:36.069Z,0.4
2025-08-10T02:24:25.473Z,0.05
2025-08-10T03:07:34.251Z,0.05
2025-08-10T04:47:15.233Z,0.4
2025-08-10T05:30:34.888Z,0.39
2025-08-10T06:39:03.317Z,0.05
2025-08-10T07:25:01.821Z,0.05
2025-08-10T08:33:47.804Z,0.05
2025-08-10T09:27:33.812Z,0.05
2025-08-10T10:28:30.585Z,0.05
2025-08-10T11:22:20.573Z,0.05
2025-08-10T12:54:38.916Z,0.05
2025-08-10T13:35:17.283Z,0.05
2025-08-10T14:25:15.413Z,0.05
2025-08-10T15:26:39.077Z,0.05
2025-08-10T16:32:38.383Z,0.05
2025-08-10T17:22:52.906Z,0.05
2025-08-10T18:36:37.180Z,0.05
2025-08-10T19:21:12.060Z,0.05
2025-08-10T20:29:11.416Z,0.05
2025-08-10T21:24:58.627Z,0.05
2025-08-10T22:26:16.160Z,0.05
2025-08-10T23:25:59.746Z,0.05
2025-08-11T02:27:59.149Z,0.05
2025-08-11T04:08:54.184Z,0.38
2025-08-11T05:35:35.224Z,0.05
2025-08-11T06:45:48.264Z,0.05
2025-08-11T07:32:00.021Z,0.05
2025-08-11T08:39:42.129Z,0.05
2025-08-11T09:34:10.172Z,0.05
2025-08-11T10:32:18.107Z,0.05
2025-08-11T11:25:24.188Z,0.05
2025-08-11T13:00:24.891Z,0.05
2025-08-11T14:30:05.459Z,0.05
2025-08-11T15:31:09.440Z,0.05
2025-08-11T16:36:47.786Z,0.05
2025-08-11T17:27:11.303Z,0.05
2025-08-11T18:41:23.670Z,0.05
2025-08-11T19:23:42.946Z,0.05
2025-08-11T20:28:24.687Z,0.05
2025-08-11T21:24:36.070Z,0.05
2025-08-11T22:26:55.814Z,0.05
2025-08-11T23:25:34.290Z,0.05
2025-08-12T02:09:50.436Z,0.05
2025-08-12T03:52:37.904Z,0.05
2025-08-12T04:35:18.261Z,0.05
2025-08-12T05:27:30.404Z,0.05
2025-08-12T06:40:38.795Z,0.05
2025-08-12T07:27:36.828Z,0.05
2025-08-12T08:36:01.730Z,0.05
2025-08-12T09:30:29.453Z,0.05
2025-08-12T10:30:39.269Z,0.05
2025-08-12T11:23:57.251Z,0.05
2025-08-12T12:57:22.951Z,0.05
2025-08-12T13:39:25.763Z,0.38
2025-08-12T14:28:24.836Z,0.05
2025-08-12T15:30:41.964Z,0.05
2025-08-12T16:35:29.215Z,0.41
2025-08-12T17:26:07.978Z,0.37
2025-08-12T18:40:33.863Z,0.05
2025-08-12T19:21:56.212Z,0.05
2025-08-12T20:30:44.073Z,0.39
2025-08-12T21:26:03.306Z,0.46
2025-08-12T22:26:15.157Z,0.42
2025-08-12T23:25:44.906Z,0.41
2025-08-13T02:11:21.860Z,0.05
2025-08-13T03:54:31.419Z,0.39
2025-08-13T04:36:50.645Z,0.37
2025-08-13T05:28:51.858Z,0.37
2025-08-13T06:40:56.519Z,0.06
2025-08-13T07:27:38.779Z,0.06
2025-08-13T08:36:50.723Z,0.43
2025-08-13T09:30:27.863Z,0.4
2025-08-13T10:30:56.988Z,0.41
2025-08-13T11:24:27.560Z,0.06
2025-08-13T12:58:28.128Z,0.06
2025-08-13T13:40:11.952Z,0.06
2025-08-13T14:28:43.437Z,0.06
2025-08-13T15:26:32.896Z,0.06
2025-08-13T16:30:13.454Z,0.06
2025-08-13T17:22:05.810Z,0.06
2025-08-13T18:38:10.113Z,0.06
2025-08-13T19:22:22.748Z,0.06
2025-08-13T20:30:24.486Z,0.06
2025-08-13T21:25:32.100Z,0.06
2025-08-13T22:25:48.421Z,0.06
2025-08-13T23:26:21.110Z,0.06
2025-08-14T02:17:58.273Z,0.06
2025-08-14T03:55:02.896Z,0.43
2025-08-14T04:37:06.350Z,0.06
2025-08-14T05:28:21.311Z,0.06
2025-08-14T06:41:27.487Z,0.06
2025-08-14T07:27:24.820Z,0.41
2025-08-14T08:37:26.994Z,0.37
2025-08-14T09:31:34.949Z,0.06
2025-08-14T10:31:17.014Z,0.06
2025-08-14T11:28:57.749Z,0.06
2025-08-14T12:58:51.071Z,0.06
2025-08-14T13:40:14.735Z,0.06
2025-08-14T14:27:41.017Z,0.06
2025-08-14T15:30:09.297Z,0.06
2025-08-14T16:35:36.488Z,0.06
2025-08-14T17:25:05.302Z,0.06
2025-08-14T18:40:06.057Z,0.06
2025-08-14T19:21:19.520Z,0.06
2025-08-14T20:30:39.569Z,0.06
2025-08-14T21:25:40.739Z,0.06
2025-08-14T22:26:21.100Z,0.06
2025-08-14T23:25:37.864Z,0.06
2025-08-15T02:18:46.487Z,0.06
2025-08-15T03:55:54.216Z,0.06
2025-08-15T04:37:04.319Z,0.06
2025-08-15T05:28:22.500Z,0.06
2025-08-15T06:40:40.609Z,0.06
2025-08-15T07:26:14.982Z,0.06
2025-08-15T08:35:25.130Z,0.06
2025-08-15T09:29:06.054Z,0.06
2025-08-15T10:29:28.656Z,0.06
2025-08-15T11:23:04.549Z,0.06
2025-08-15T12:54:49.820Z,0.06
2025-08-15T13:36:22.602Z,0.06
2025-08-15T14:27:04.126Z,0.06
2025-08-15T15:28:17.576Z,0.06
2025-08-15T16:33:31.755Z,0.06
2025-08-15T17:24:46.803Z,0.06
2025-08-15T18:39:17.506Z,0.06
2025-08-15T19:21:16.120Z,0.06
2025-08-15T20:29:31.159Z,0.06
2025-08-15T21:23:02.126Z,0.06
2025-08-15T22:26:41.464Z,0.06
2025-08-15T23:25:28.385Z,0.06
2025-08-16T02:06:54.484Z,0.06
2025-08-16T03:49:36.543Z,0.06
2025-08-16T04:33:06.410Z,0.06
2025-08-16T05:26:25.447Z,0.06
2025-08-16T06:37:09.828Z,0.06
2025-08-16T07:24:00.995Z,0.06
2025-08-16T08:32:54.615Z,0.06
2025-08-16T09:26:23.486Z,0.06
2025-08-16T10:26:43.906Z,0.06
2025-08-16T11:20:36.802Z,0.06
2025-08-16T12:52:23.504Z,0.06
2025-08-16T13:31:57.036Z,0.06
2025-08-16T14:23:45.294Z,0.06
2025-08-16T15:25:09.919Z,0.06
2025-08-16T16:30:55.331Z,0.06
2025-08-16T17:21:48.251Z,0.06
2025-08-16T18:35:15.236Z,0.06
2025-08-16T19:20:30.711Z,0.06
2025-08-16T20:27:17.139Z,0.06
2025-08-16T21:23:29.377Z,0.06
2025-08-16T22:25:31.195Z,0.06
2025-08-16T23:24:02.896Z,0.06
2025-08-17T02:24:35.646Z,0.06
2025-08-17T03:58:07.358Z,0.06
2025-08-17T04:38:26.563Z,0.06
2025-08-17T05:27:26.993Z,0.06
2025-08-17T06:37:58.519Z,0.06
2025-08-17T07:24:50.080Z,0.06
2025-08-17T08:33:43.175Z,0.06
2025-08-17T09:25:57.668Z,0.06
2025-08-17T10:27:18.276Z,0.06
2025-08-17T11:21:01.832Z,0.06
2025-08-17T12:53:12.446Z,0.06
2025-08-17T13:33:22.431Z,0.06
2025-08-17T14:24:12.693Z,0.06
2025-08-17T15:25:49.230Z,0.06
2025-08-17T16:31:50.204Z,0.06
2025-08-17T17:23:15.234Z,0.06
2025-08-17T18:36:21.871Z,0.06
2025-08-17T19:21:07.153Z,0.06
